text_chunk
"Purchase Order PO-10001 | Supplier: Orrentek Precision Mfg (ID: SUP-001) | Region: APAC | Country: China | Tier: Tier-1 | Risk Level: Low | Product Category: Electronic Components | SKU: SKU-EC-1001 | PO Value: $70,121.14 | Units Ordered: 9013 | Units Delivered On Time: 8598 | Units Rejected: 12 | OTD Rate: 95.4% | Defect Rate: 0.14% | Compliance Score: 88 | Sustainability Score: 77 | Lead Time: 14 days | Certifications: ISO9001;ISO14001;RoHS | Last Audit: 2023-08-12 | Active Disruption: No active disruption | Quarter: Q1-2023"
"Purchase Order PO-10002 | Supplier: Zhenlong Electroco (ID: SUP-002) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Medium | Product Category: Electronic Components | SKU: SKU-EC-1002 | PO Value: $350,708.40 | Units Ordered: 69585 | Units Delivered On Time: 57059 | Units Rejected: 1454 | OTD Rate: 82.0% | Defect Rate: 2.09% | Compliance Score: 84 | Sustainability Score: 60 | Lead Time: 34 days | Certifications: ISO9001;RoHS | Last Audit: 2023-06-13 | Active Disruption: Regulatory audit pending | Quarter: Q1-2023"
"Purchase Order PO-10003 | Supplier: Wanlong Composites Ltd (ID: SUP-003) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: High | Product Category: Raw Materials | SKU: SKU-RM-1001 | PO Value: $189,991.56 | Units Ordered: 18572 | Units Delivered On Time: 16696 | Units Rejected: 250 | OTD Rate: 89.9% | Defect Rate: 1.35% | Compliance Score: 71 | Sustainability Score: 61 | Lead Time: 22 days | Certifications: ISO9001 | Last Audit: 2023-02-14 | Active Disruption: Audit overdue; compliance review | Quarter: Q1-2024"
"Purchase Order PO-10004 | Supplier: Yangtze Fiber Materials (ID: SUP-004) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Medium | Product Category: Industrial Textiles | SKU: SKU-IT-1001 | PO Value: $41,783.01 | Units Ordered: 19079 | Units Delivered On Time: 17247 | Units Rejected: 362 | OTD Rate: 90.4% | Defect Rate: 1.9% | Compliance Score: 79 | Sustainability Score: 53 | Lead Time: 38 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2023-08-27 | Active Disruption: Geopolitical tension flag | Quarter: Q1-2024"
"Purchase Order PO-10005 | Supplier: Huabei Circuit Systems (ID: SUP-005) | Region: APAC | Country: China | Tier: Tier-1 | Risk Level: Medium | Product Category: Electronic Components | SKU: SKU-EC-1003 | PO Value: $59,817.52 | Units Ordered: 13412 | Units Delivered On Time: 13143 | Units Rejected: 100 | OTD Rate: 98.0% | Defect Rate: 0.75% | Compliance Score: 94 | Sustainability Score: 90 | Lead Time: 18 days | Certifications: ISO9001;AEC-Q100;RoHS | Last Audit: 2023-06-25 | Active Disruption: Geopolitical tension flag | Quarter: Q2-2023"
"Purchase Order PO-10006 | Supplier: Dongfeng Castings Co (ID: SUP-006) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Low | Product Category: Mechanical Components | SKU: SKU-MC-1001 | PO Value: $148,703.50 | Units Ordered: 35575 | Units Delivered On Time: 30985 | Units Rejected: 387 | OTD Rate: 87.1% | Defect Rate: 1.09% | Compliance Score: 81 | Sustainability Score: 72 | Lead Time: 41 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-11-20 | Active Disruption: No active disruption | Quarter: Q1-2023"
"Purchase Order PO-10007 | Supplier: Longhua Polymer Works (ID: SUP-007) | Region: APAC | Country: China | Tier: Tier-3 | Risk Level: Medium | Product Category: Raw Materials | SKU: SKU-RM-1002 | PO Value: $722,066.80 | Units Ordered: 66920 | Units Delivered On Time: 47379 | Units Rejected: 950 | OTD Rate: 70.8% | Defect Rate: 1.42% | Compliance Score: 68 | Sustainability Score: 50 | Lead Time: 49 days | Certifications: ISO9001 | Last Audit: 2024-08-21 | Active Disruption: No active disruption | Quarter: Q1-2024"
"Purchase Order PO-10008 | Supplier: Shengda Pack Industries (ID: SUP-008) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: High | Product Category: Packaging Materials | SKU: SKU-PM-1001 | PO Value: $62,132.40 | Units Ordered: 70605 | Units Delivered On Time: 60226 | Units Rejected: 1433 | OTD Rate: 85.3% | Defect Rate: 2.03% | Compliance Score: 78 | Sustainability Score: 62 | Lead Time: 16 days | Certifications: FSC;ISO9001 | Last Audit: 2024-03-08 | Active Disruption: Export license risk | Quarter: Q3-2023"
"Purchase Order PO-10009 | Supplier: Tianhe Alloy Group (ID: SUP-009) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Medium | Product Category: Specialty Alloys | SKU: SKU-SA-1001 | PO Value: $232,843.20 | Units Ordered: 8672 | Units Delivered On Time: 7640 | Units Rejected: 128 | OTD Rate: 88.1% | Defect Rate: 1.48% | Compliance Score: 86 | Sustainability Score: 77 | Lead Time: 29 days | Certifications: ISO9001 | Last Audit: 2023-12-15 | Active Disruption: Seasonal flood risk | Quarter: Q1-2024"
"Purchase Order PO-10010 | Supplier: Bohai Electronics (ID: SUP-010) | Region: APAC | Country: China | Tier: Tier-3 | Risk Level: High | Product Category: Electronic Components | SKU: SKU-EC-1004 | PO Value: $181,916.01 | Units Ordered: 31419 | Units Delivered On Time: 19793 | Units Rejected: 826 | OTD Rate: 63.0% | Defect Rate: 2.63% | Compliance Score: 64 | Sustainability Score: 30 | Lead Time: 34 days | Certifications: ISO9001;RoHS | Last Audit: 2024-01-18 | Active Disruption: Typhoon season disruption | Quarter: Q4-2023"
"Purchase Order PO-10011 | Supplier: Dravex Components India (ID: SUP-011) | Region: APAC | Country: India | Tier: Tier-3 | Risk Level: High | Product Category: Mechanical Components | SKU: SKU-MC-1002 | PO Value: $93,459.30 | Units Ordered: 36795 | Units Delivered On Time: 29656 | Units Rejected: 1096 | OTD Rate: 80.6% | Defect Rate: 2.98% | Compliance Score: 74 | Sustainability Score: 63 | Lead Time: 38 days | Certifications: ISO9001 | Last Audit: 2024-08-03 | Active Disruption: Typhoon season disruption | Quarter: Q1-2023"
"Purchase Order PO-10012 | Supplier: Bharat Precision Works (ID: SUP-012) | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: High | Product Category: Mechanical Components | SKU: SKU-MC-1003 | PO Value: $85,412.40 | Units Ordered: 13060 | Units Delivered On Time: 12289 | Units Rejected: 83 | OTD Rate: 94.1% | Defect Rate: 0.64% | Compliance Score: 82 | Sustainability Score: 52 | Lead Time: 29 days | Certifications: ISO9001;IATF16949 | Last Audit: 2024-07-06 | Active Disruption: Currency volatility flag | Quarter: Q3-2024"
"Purchase Order PO-10013 | Supplier: Indotech Fab Ltd (ID: SUP-013) | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Medium | Product Category: Electronic Components | SKU: SKU-EC-1005 | PO Value: $323,524.88 | Units Ordered: 36392 | Units Delivered On Time: 33043 | Units Rejected: 847 | OTD Rate: 90.8% | Defect Rate: 2.33% | Compliance Score: 89 | Sustainability Score: 67 | Lead Time: 33 days | Certifications: ISO9001;RoHS | Last Audit: 2023-01-22 | Active Disruption: No active disruption | Quarter: Q2-2023"
"Purchase Order PO-10014 | Supplier: Deccan Polymer Mfg (ID: SUP-014) | Region: APAC | Country: India | Tier: Tier-3 | Risk Level: Low | Product Category: Raw Materials | SKU: SKU-RM-1003 | PO Value: $587,959.12 | Units Ordered: 30751 | Units Delivered On Time: 23340 | Units Rejected: 602 | OTD Rate: 75.9% | Defect Rate: 1.96% | Compliance Score: 57 | Sustainability Score: 30 | Lead Time: 21 days | Certifications: ISO9001 | Last Audit: 2024-05-12 | Active Disruption: No active disruption | Quarter: Q4-2023"
"Purchase Order PO-10015 | Supplier: Narmada Pack Solutions (ID: SUP-015) | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Medium | Product Category: Packaging Materials | SKU: SKU-PM-1002 | PO Value: $71,053.49 | Units Ordered: 45257 | Units Delivered On Time: 36929 | Units Rejected: 348 | OTD Rate: 81.6% | Defect Rate: 0.77% | Compliance Score: 85 | Sustainability Score: 84 | Lead Time: 37 days | Certifications: FSC;ISO9001 | Last Audit: 2024-02-25 | Active Disruption: Geopolitical tension flag | Quarter: Q2-2024"
"Purchase Order PO-10016 | Supplier: Konkan Textile Mills (ID: SUP-016) | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Low | Product Category: Industrial Textiles | SKU: SKU-IT-1002 | PO Value: $103,713.60 | Units Ordered: 22304 | Units Delivered On Time: 19159 | Units Rejected: 544 | OTD Rate: 85.9% | Defect Rate: 2.44% | Compliance Score: 88 | Sustainability Score: 54 | Lead Time: 35 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2024-03-08 | Active Disruption: No active disruption | Quarter: Q4-2024"
"Purchase Order PO-10017 | Supplier: Sahyadri Alloy Tech (ID: SUP-017) | Region: APAC | Country: India | Tier: Tier-3 | Risk Level: High | Product Category: Specialty Alloys | SKU: SKU-SA-1002 | PO Value: $408,698.56 | Units Ordered: 12106 | Units Delivered On Time: 7868 | Units Rejected: 330 | OTD Rate: 65.0% | Defect Rate: 2.73% | Compliance Score: 52 | Sustainability Score: 58 | Lead Time: 24 days | Certifications: ISO9001 | Last Audit: 2024-02-21 | Active Disruption: Export license risk | Quarter: Q4-2023"
"Purchase Order PO-10018 | Supplier: Deltaforge Vietnam (ID: SUP-018) | Region: APAC | Country: Vietnam | Tier: Tier-3 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1004 | PO Value: $219,864.19 | Units Ordered: 27937 | Units Delivered On Time: 20421 | Units Rejected: 533 | OTD Rate: 73.1% | Defect Rate: 1.91% | Compliance Score: 62 | Sustainability Score: 33 | Lead Time: 18 days | Certifications: ISO9001 | Last Audit: 2023-07-14 | Active Disruption: Port congestion risk | Quarter: Q4-2024"
"Purchase Order PO-10019 | Supplier: Saigon Precision Works (ID: SUP-019) | Region: APAC | Country: Vietnam | Tier: Tier-2 | Risk Level: Low | Product Category: Electronic Components | SKU: SKU-EC-1006 | PO Value: $86,814.16 | Units Ordered: 12193 | Units Delivered On Time: 10120 | Units Rejected: 379 | OTD Rate: 83.0% | Defect Rate: 3.11% | Compliance Score: 85 | Sustainability Score: 82 | Lead Time: 22 days | Certifications: ISO9001;RoHS | Last Audit: 2023-03-24 | Active Disruption: No active disruption | Quarter: Q1-2023"
"Purchase Order PO-10020 | Supplier: Mekong Pack Co (ID: SUP-020) | Region: APAC | Country: Vietnam | Tier: Tier-3 | Risk Level: Medium | Product Category: Packaging Materials | SKU: SKU-PM-1003 | PO Value: $45,937.71 | Units Ordered: 58149 | Units Delivered On Time: 48263 | Units Rejected: 831 | OTD Rate: 83.0% | Defect Rate: 1.43% | Compliance Score: 52 | Sustainability Score: 45 | Lead Time: 33 days | Certifications: FSC;ISO9001 | Last Audit: 2023-07-29 | Active Disruption: Geopolitical tension flag | Quarter: Q2-2024"
"Purchase Order PO-10021 | Supplier: Hanoitex Industries (ID: SUP-021) | Region: APAC | Country: Vietnam | Tier: Tier-2 | Risk Level: Low | Product Category: Industrial Textiles | SKU: SKU-IT-1003 | PO Value: $59,925.32 | Units Ordered: 18382 | Units Delivered On Time: 16433 | Units Rejected: 235 | OTD Rate: 89.4% | Defect Rate: 1.28% | Compliance Score: 75 | Sustainability Score: 73 | Lead Time: 32 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2023-03-17 | Active Disruption: No active disruption | Quarter: Q4-2024"
"Purchase Order PO-10022 | Supplier: Danang Metal Works (ID: SUP-022) | Region: APAC | Country: Vietnam | Tier: Tier-3 | Risk Level: High | Product Category: Mechanical Components | SKU: SKU-MC-1005 | PO Value: $196,632.71 | Units Ordered: 60877 | Units Delivered On Time: 45353 | Units Rejected: 1747 | OTD Rate: 74.5% | Defect Rate: 2.87% | Compliance Score: 54 | Sustainability Score: 52 | Lead Time: 33 days | Certifications: ISO9001 | Last Audit: 2024-07-21 | Active Disruption: Typhoon season disruption | Quarter: Q1-2023"
"Purchase Order PO-10023 | Supplier: Hanguk Circuit Works (ID: SUP-023) | Region: APAC | Country: South Korea | Tier: Tier-1 | Risk Level: Low | Product Category: Electronic Components | SKU: SKU-EC-1007 | PO Value: $87,291.05 | Units Ordered: 16195 | Units Delivered On Time: 14802 | Units Rejected: 199 | OTD Rate: 91.4% | Defect Rate: 1.23% | Compliance Score: 84 | Sustainability Score: 78 | Lead Time: 14 days | Certifications: ISO9001;AEC-Q100 | Last Audit: 2023-09-28 | Active Disruption: No active disruption | Quarter: Q4-2023"
"Purchase Order PO-10024 | Supplier: Seoultech Micro (ID: SUP-024) | Region: APAC | Country: South Korea | Tier: Tier-2 | Risk Level: Medium | Product Category: Electronic Components | SKU: SKU-EC-1008 | PO Value: $155,685.58 | Units Ordered: 40022 | Units Delivered On Time: 34659 | Units Rejected: 440 | OTD Rate: 86.6% | Defect Rate: 1.1% | Compliance Score: 68 | Sustainability Score: 53 | Lead Time: 38 days | Certifications: ISO9001;RoHS | Last Audit: 2024-07-18 | Active Disruption: Geopolitical tension flag | Quarter: Q3-2023"
"Purchase Order PO-10025 | Supplier: Koryo Alloy Systems (ID: SUP-025) | Region: APAC | Country: South Korea | Tier: Tier-1 | Risk Level: High | Product Category: Specialty Alloys | SKU: SKU-SA-1003 | PO Value: $156,400.64 | Units Ordered: 5554 | Units Delivered On Time: 5337 | Units Rejected: 58 | OTD Rate: 96.1% | Defect Rate: 1.05% | Compliance Score: 83 | Sustainability Score: 72 | Lead Time: 17 days | Certifications: ISO9001;NADCAP | Last Audit: 2023-11-12 | Active Disruption: Currency volatility flag | Quarter: Q3-2023"
"Purchase Order PO-10026 | Supplier: Hangang Steel Parts (ID: SUP-026) | Region: APAC | Country: South Korea | Tier: Tier-2 | Risk Level: Low | Product Category: Mechanical Components | SKU: SKU-MC-1006 | PO Value: $147,441.30 | Units Ordered: 20535 | Units Delivered On Time: 17290 | Units Rejected: 618 | OTD Rate: 84.2% | Defect Rate: 3.01% | Compliance Score: 68 | Sustainability Score: 70 | Lead Time: 19 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-08-31 | Active Disruption: No active disruption | Quarter: Q3-2023"
"Purchase Order PO-10027 | Supplier: Busan Pack Corp (ID: SUP-027) | Region: APAC | Country: South Korea | Tier: Tier-2 | Risk Level: High | Product Category: Packaging Materials | SKU: SKU-PM-1004 | PO Value: $55,673.65 | Units Ordered: 16619 | Units Delivered On Time: 15405 | Units Rejected: 520 | OTD Rate: 92.7% | Defect Rate: 3.13% | Compliance Score: 92 | Sustainability Score: 59 | Lead Time: 12 days | Certifications: FSC;ISO9001 | Last Audit: 2023-06-13 | Active Disruption: Port closure risk | Quarter: Q4-2023"
"Purchase Order PO-10028 | Supplier: Hokkaido Alloy Tech (ID: SUP-028) | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Low | Product Category: Specialty Alloys | SKU: SKU-SA-1004 | PO Value: $291,569.18 | Units Ordered: 14983 | Units Delivered On Time: 14548 | Units Rejected: 41 | OTD Rate: 97.1% | Defect Rate: 0.28% | Compliance Score: 81 | Sustainability Score: 97 | Lead Time: 20 days | Certifications: ISO9001;NADCAP;AS9100 | Last Audit: 2023-07-17 | Active Disruption: No active disruption | Quarter: Q1-2023"
