text_chunk
"Supplier Summary: Almaral Steel FZC | ID: SUP-072 | Region: EMEA | Country: UAE | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 86 | Sustainability Score: 63 | Avg OTD Rate: 85.7% | Avg Defect Rate: 1.74% | Total PO Value: $9,330,113.92 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Port congestion risk; Political instability flag; Regulatory audit pending; Currency volatility flag; Geopolitical tension flag; Audit overdue; compliance review; Tariff adjustment pending; Regulatory enforcement pending; Port closure risk"
"Supplier Summary: Amapola Fibras | ID: SUP-097 | Region: LATAM | Country: Chile | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 74 | Sustainability Score: 75 | Avg OTD Rate: 86.5% | Avg Defect Rate: 1.89% | Total PO Value: $1,840,660.56 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Audit overdue; compliance review; Geopolitical tension flag; Regulatory enforcement pending; Regulatory audit pending; Political instability flag; Labour strike risk; Tariff adjustment pending"
"Supplier Summary: Andino Fiber Corp | ID: SUP-093 | Region: LATAM | Country: Colombia | Tier: Tier-2 | Risk Level: Low | Compliance Score: 68 | Sustainability Score: 53 | Avg OTD Rate: 87.5% | Avg Defect Rate: 1.94% | Total PO Value: $1,682,976.65 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Regulatory audit pending; Political instability flag; Tariff adjustment pending; Seasonal flood risk; Audit overdue; compliance review; Currency volatility flag; Port congestion risk; Export license risk"
"Supplier Summary: Appalachian Alloys | ID: SUP-108 | Region: AMER | Country: USA | Tier: Tier-2 | Risk Level: High | Compliance Score: 92 | Sustainability Score: 78 | Avg OTD Rate: 88.1% | Avg Defect Rate: 1.82% | Total PO Value: $10,062,321.79 | Total POs: 17 | Certifications: ISO9001;NADCAP | Active Disruptions: Regulatory enforcement pending; Seasonal flood risk; Regulatory audit pending; Audit overdue; compliance review; Geopolitical tension flag; Export license risk"
"Supplier Summary: Archipelago PCB Corp | ID: SUP-041 | Region: APAC | Country: Philippines | Tier: Tier-3 | Risk Level: High | Compliance Score: 75 | Sustainability Score: 55 | Avg OTD Rate: 74.4% | Avg Defect Rate: 2.82% | Total PO Value: $4,402,101.57 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Labour strike risk; Export license risk; Audit overdue; compliance review; Typhoon season disruption; Port closure risk; Tariff adjustment pending"
"Supplier Summary: BalticPrint OU | ID: SUP-076 | Region: EMEA | Country: Estonia | Tier: Tier-2 | Risk Level: Low | Compliance Score: 90 | Sustainability Score: 74 | Avg OTD Rate: 85.8% | Avg Defect Rate: 1.93% | Total PO Value: $1,192,267.40 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Geopolitical tension flag; Export license risk; Typhoon season disruption; Tariff adjustment pending; Regulatory enforcement pending; Seasonal flood risk"
"Supplier Summary: Berliner Pack GmbH | ID: SUP-048 | Region: EMEA | Country: Germany | Tier: Tier-1 | Risk Level: Low | Compliance Score: 90 | Sustainability Score: 70 | Avg OTD Rate: 93.9% | Avg Defect Rate: 0.76% | Total PO Value: $289,328.09 | Total POs: 17 | Certifications: FSC;ISO14001;ISO9001 | Active Disruptions: Port congestion risk; Export license risk; Regulatory enforcement pending; Port closure risk; Tariff adjustment pending"
"Supplier Summary: Bharat Precision Works | ID: SUP-012 | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: High | Compliance Score: 82 | Sustainability Score: 52 | Avg OTD Rate: 86.8% | Avg Defect Rate: 1.59% | Total PO Value: $2,031,103.65 | Total POs: 18 | Certifications: ISO9001;IATF16949 | Active Disruptions: Currency volatility flag; Seasonal flood risk; Political instability flag; Tariff adjustment pending; Export license risk; Audit overdue; compliance review"
"Supplier Summary: BlueMesa Polymers | ID: SUP-106 | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: Low | Compliance Score: 96 | Sustainability Score: 94 | Avg OTD Rate: 93.8% | Avg Defect Rate: 0.93% | Total PO Value: $1,758,414.87 | Total POs: 17 | Certifications: ISO9001;ISO14001;OSHA | Active Disruptions: Seasonal flood risk; Geopolitical tension flag; Port closure risk"
"Supplier Summary: Bogota Pack Ltda | ID: SUP-094 | Region: LATAM | Country: Colombia | Tier: Tier-3 | Risk Level: High | Compliance Score: 68 | Sustainability Score: 61 | Avg OTD Rate: 71.0% | Avg Defect Rate: 3.08% | Total PO Value: $1,121,220.83 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Labour strike risk; Regulatory audit pending; Regulatory enforcement pending; Tariff adjustment pending; Port closure risk; Typhoon season disruption; Political instability flag; Audit overdue; compliance review; Geopolitical tension flag"
"Supplier Summary: Bohai Electronics | ID: SUP-010 | Region: APAC | Country: China | Tier: Tier-3 | Risk Level: High | Compliance Score: 64 | Sustainability Score: 30 | Avg OTD Rate: 71.3% | Avg Defect Rate: 3.40% | Total PO Value: $3,436,726.31 | Total POs: 18 | Certifications: ISO9001;RoHS | Active Disruptions: Typhoon season disruption; Regulatory enforcement pending; Geopolitical tension flag; Labour strike risk; Tariff adjustment pending; Port congestion risk; Regulatory audit pending"
"Supplier Summary: Bordeaux Pack SAS | ID: SUP-053 | Region: EMEA | Country: France | Tier: Tier-2 | Risk Level: Low | Compliance Score: 81 | Sustainability Score: 69 | Avg OTD Rate: 87.4% | Avg Defect Rate: 1.90% | Total PO Value: $703,614.84 | Total POs: 17 | Certifications: FSC;ISO14001;ISO9001 | Active Disruptions: Labour strike risk; Geopolitical tension flag; Audit overdue; compliance review; Tariff adjustment pending; Typhoon season disruption; Seasonal flood risk; Regulatory audit pending"
"Supplier Summary: Borealis Composites | ID: SUP-062 | Region: EMEA | Country: Denmark | Tier: Tier-1 | Risk Level: Low | Compliance Score: 92 | Sustainability Score: 97 | Avg OTD Rate: 93.6% | Avg Defect Rate: 0.94% | Total PO Value: $1,699,860.45 | Total POs: 17 | Certifications: ISO9001;ISO14001;REACH | Active Disruptions: Port closure risk; Geopolitical tension flag; Port congestion risk; Typhoon season disruption; Regulatory audit pending; Currency volatility flag"
